site,area_sqm,facility_type
광운대,30909,PaperCenter
온산,4255,PaperCenter
오봉1,2254,PaperCenter
오봉2,2226,PaperCenter
수색,11405,PaperCenter
진주,1905,PaperCenter
장항화물,3313,PaperCenter
서빙고,1617,PaperCenter
