site,facility_type
오류동,MilitaryBase
청천,MilitaryBase
동두천,MilitaryBase
연무대,MilitaryBase
오근장,MilitaryBase
우암,MilitaryBase
덕산,MilitaryBase
동량,MilitaryBase
평택,MilitaryBase
원주,MilitaryBase
진해,MilitaryBase
벽제,MilitaryBase
지평,MilitaryBase
김유정,MilitaryBase
왜관,MilitaryBase
연화,MilitaryBase
청평,MilitaryBase
경산,MilitaryBase
능곡,MilitaryBase
문산,MilitaryBase
전의,MilitaryBase
성환,MilitaryBase
