tare_ton,wagon_subtype,subtype_count
24.5,flat_wagon,0
24.8,flat_wagon,0
25.0,flat_wagon,0
25.2,flat_wagon,0
25.5,flat_wagon,0
25.6,flat_wagon,0
25.9,flat_wagon,0
26.0,flat_wagon,0
26.1,flat_wagon,0
26.3,flat_wagon,0
26.5,flat_wagon,0
26.8,flat_wagon,0
27.2,flat_wagon,0
27.5,flat_wagon,0
27.6,flat_wagon,0
27.8,flat_wagon,0
27.9,flat_wagon,0
28.0,flat_wagon,0
34.4,flat_wagon,0
35.0,flat_wagon,61
37.0,flat_wagon,22
37.2,flat_wagon,33
38.0,flat_wagon,4
48.7,flat_wagon,15
54.0,flat_wagon,3
54.1,flat_wagon,1
90.0,flat_wagon,1
16.6,parcel,16
17.5,parcel,13
17.7,parcel,0
18.1,parcel,0
18.2,parcel,0
18.5,parcel,0
19.3,parcel,0
19.4,parcel,0
19.5,parcel,0
19.7,parcel,0
19.9,parcel,0
20.0,parcel,0
20.1,parcel,0
20.2,parcel,0
20.3,parcel,0
20.4,parcel,0
20.5,parcel,0
20.6,parcel,0
20.7,parcel,0
20.8,parcel,0
21.1,parcel,0
21.2,parcel,0
21.3,parcel,0
21.4,parcel,0
21.6,parcel,0
21.7,parcel,0
22.0,parcel,0
22.1,parcel,0
22.2,parcel,0
22.3,parcel,0
22.5,parcel,0
22.6,parcel,0
22.7,parcel,0
22.8,parcel,0
22.9,parcel,0
23.0,parcel,0
23.1,parcel,0
23.5,parcel,0
23.8,parcel,0
24.0,parcel,0
24.1,parcel,0
24.2,parcel,0
24.5,parcel,0
24.8,parcel,0
25.0,parcel,0
25.2,parcel,0
25.5,parcel,0
25.6,parcel,3
25.9,parcel,0
26.0,parcel,0
26.1,parcel,0
26.3,parcel,0
26.5,parcel,13
26.8,parcel,0
27.2,parcel,0
27.5,parcel,0
27.6,parcel,0
27.8,parcel,0
27.9,parcel,0
28.0,parcel,0
34.4,parcel,0
35.0,parcel,0
37.0,parcel,0
37.2,parcel,0
38.0,parcel,0
48.7,parcel,0
54.0,parcel,0
54.1,parcel,0
90.0,parcel,0
16.6,guard_wagon,24
17.5,guard_wagon,0
17.7,guard_wagon,0
18.1,guard_wagon,0
18.2,guard_wagon,0
18.5,guard_wagon,0
19.3,guard_wagon,0
19.4,guard_wagon,0
19.5,guard_wagon,0
19.7,guard_wagon,0
19.9,guard_wagon,0
20.0,guard_wagon,0
20.1,guard_wagon,0
20.2,guard_wagon,0
20.3,guard_wagon,0
20.4,guard_wagon,0
20.5,guard_wagon,0
20.6,guard_wagon,0
20.7,guard_wagon,0
20.8,guard_wagon,0
21.1,guard_wagon,0
21.2,guard_wagon,0
21.3,guard_wagon,0
21.4,guard_wagon,0
21.6,guard_wagon,0
21.7,guard_wagon,0
22.0,guard_wagon,0
22.1,guard_wagon,0
22.2,guard_wagon,0
22.3,guard_wagon,0
22.5,guard_wagon,0
22.6,guard_wagon,0
22.7,guard_wagon,0
22.8,guard_wagon,0
22.9,guard_wagon,0
23.0,guard_wagon,0
23.1,guard_wagon,0
23.5,guard_wagon,0
23.8,guard_wagon,0
24.0,guard_wagon,0
24.1,guard_wagon,0
24.2,guard_wagon,0
24.5,guard_wagon,0
24.8,guard_wagon,0
25.0,guard_wagon,0
25.2,guard_wagon,0
25.5,guard_wagon,0
25.6,guard_wagon,0
25.9,guard_wagon,0
26.0,guard_wagon,0
26.1,guard_wagon,0
26.3,guard_wagon,0
26.5,guard_wagon,22
26.8,guard_wagon,0
27.2,guard_wagon,0
27.5,guard_wagon,0
27.6,guard_wagon,0
27.8,guard_wagon,0
27.9,guard_wagon,0
28.0,guard_wagon,0
34.4,guard_wagon,0
35.0,guard_wagon,0
37.0,guard_wagon,0
37.2,guard_wagon,0
38.0,guard_wagon,0
48.7,guard_wagon,0
54.0,guard_wagon,0
54.1,guard_wagon,0
90.0,guard_wagon,0
16.6,ballast_wagon,35
17.5,ballast_wagon,0
17.7,ballast_wagon,0
18.1,ballast_wagon,0
18.2,ballast_wagon,0
18.5,ballast_wagon,0
19.3,ballast_wagon,0
19.4,ballast_wagon,0
19.5,ballast_wagon,0
19.7,ballast_wagon,0
19.9,ballast_wagon,0
20.0,ballast_wagon,0
20.1,ballast_wagon,0
20.2,ballast_wagon,0
20.3,ballast_wagon,0
20.4,ballast_wagon,0
20.5,ballast_wagon,0
20.6,ballast_wagon,0
20.7,ballast_wagon,0
20.8,ballast_wagon,0
21.1,ballast_wagon,0
21.2,ballast_wagon,0
21.3,ballast_wagon,0
21.4,ballast_wagon,0
21.6,ballast_wagon,0
21.7,ballast_wagon,0
22.0,ballast_wagon,0
22.1,ballast_wagon,0
22.2,ballast_wagon,0
22.3,ballast_wagon,0
22.5,ballast_wagon,0
22.6,ballast_wagon,0
22.7,ballast_wagon,0
