seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
4,3004,화물,정기,상,부산신항,7:25:00,오봉,12:23:00,4:58:00,402.3,일화수목금토,경부선,,07:25:00,12:23:00,17880,81.0,Fri,Gyeongbu Line,0,2024-01-05 07:25:00,2024-01-05 12:23:00,298.0,298.0,0.0,22158684.0
4,3004,화물,정기,상,부산신항,7:25:00,오봉,12:23:00,4:58:00,402.3,일화수목금토,경부선,,07:25:00,12:23:00,17880,81.0,Sat,Gyeongbu Line,0,2024-01-06 07:25:00,2024-01-06 12:23:00,298.0,298.0,0.0,22158684.0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,Tue,Gyeongbu Line,0,2024-01-02 03:30:00,2024-01-02 09:42:00,372.0,372.0,0.0,22158684.0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,Wed,Gyeongbu Line,0,2024-01-03 03:30:00,2024-01-03 09:42:00,372.0,372.0,0.0,22158684.0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,Thu,Gyeongbu Line,0,2024-01-04 03:30:00,2024-01-04 09:42:00,372.0,372.0,0.0,22158684.0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,Fri,Gyeongbu Line,0,2024-01-05 03:30:00,2024-01-05 09:42:00,372.0,372.0,0.0,22158684.0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,Sat,Gyeongbu Line,0,2024-01-06 03:30:00,2024-01-06 09:42:00,372.0,372.0,0.0,22158684.0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,Tue,Gyeongbu Line,0,2024-01-02 08:30:00,2024-01-02 13:25:00,295.0,295.0,0.0,22158684.0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,Wed,Gyeongbu Line,0,2024-01-03 08:30:00,2024-01-03 13:25:00,295.0,295.0,0.0,22158684.0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,Thu,Gyeongbu Line,0,2024-01-04 08:30:00,2024-01-04 13:25:00,295.0,295.0,0.0,22158684.0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,Fri,Gyeongbu Line,0,2024-01-05 08:30:00,2024-01-05 13:25:00,295.0,295.0,0.0,22158684.0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,Sat,Gyeongbu Line,0,2024-01-06 08:30:00,2024-01-06 13:25:00,295.0,295.0,0.0,22158684.0
