year,tons,commodity,ton_km,avg_haul_km
2017,34550.0,Clinker,7750050.0,224.31403762662808
2017,60500.0,Coal,8921750.0,147.46694214876032
2017,47058.0,Ferronickel,14895907.6,316.5435760125802
2017,7817933.0,General,2945994900.0,376.8252938468518
2017,257416.0,Heavy,45111369.0,175.24695046150978
2017,,JRContainer,0.0,
2017,246500.0,OtherHeavy,46736160.0,189.59902636916837
2017,,ParcelContainer,0.0,
2017,1550.0,Slag,351540.0,226.8
2018,14550.0,Clinker,3305260.0,227.1656357388316
2018,343568.0,Coal,64415754.7,187.49055412611187
2018,48051.0,Ferronickel,15599968.2,324.6543922082787
2018,8680582.0,General,2923813062.0,336.82223864713217
2018,760247.0,Heavy,179371102.8,235.9379291204043
2018,,JRContainer,,
2018,27300.0,OtherHeavy,4743340.0,173.74871794871794
2018,,ParcelContainer,,
2018,,Slag,,
